Year of arrival at port of disembarkation,Voyage ID,Vessel name,Voyage itinerary imputed port where began (ptdepimp) place,Voyage itinerary imputed principal place of slave purchase (mjbyptimp) ,Voyage itinerary imputed principal port of slave disembarkation (mjslptimp) place,VOYAGEID2,Captives arrived at 1st port,Captain's name
1638,29438,S Vicente,,Portuguese Guinea,Cartagena,,106,"Ferreira, Pedro Gómez<br/> Pereira, Felipe"
1618,29441,NS de Monserrat,,Luanda,Cartagena,,324,"Alfonso, Salvador"
1618,29442,NS de Gracia y Guia,,Cape Verde Islands,Cartagena,,185,"Castilla, Pedro Alonso de"
1618,29443,S Pedro,San Lucar,São Tomé,Cartagena,,,"Sotomayor, Luis de"
1619,29445,NS de Nazaren,Cadiz,Luanda,Cartagena,,,"Gómez, Juan"
1619,29446,NS del Rosario,,Portuguese Guinea,Cartagena,,250,"Morales, Pedro Diaz de<br/> Suárez, Mateo"
1619,29447,S Antônio,San Lucar,Luanda,Cartagena,,,"Rodríguez, Salvador"
1619,29449,NS del Buen Viaje,,Luanda,Cartagena,,,"Angel, Antonio Fernandez"
1620,29450,S Juan Bautista,,Luanda,Cartagena,,230,"Carnero, Juan Salvador"
1619,29451,NS de la Candelaria (a) NS de la Anunciada,"Spain, place unspecified",Luanda,Cartagena,,,"Nave, Andres Vaz de"
1619,29452,S Francisco,Lisbon,São Tomé,Cartagena,,,"Freire, Manoel Mendez<br/> Riba, Gaspar de<br/> Vaz de Morales, Pedro"
1619,29454,NS de los Remédios,Seville,"West Central Africa and St. Helena, port unspecified",Cartagena,,,"Villasboas, Agustín de"
1620,29455,Rey David,Seville,Luanda,Cartagena,,,"Pesoa, Luis"
1620,29456,S Antônio,Cadiz,Luanda,Cartagena,,,"Rodriguez, Domingo<br/> Gaspar, Juan"
1620,29457,NS de la Yniestra,San Lucar,Luanda,Cartagena,,,"Gallegos, Alonso"
1620,29458,Ángel S Rafael,Seville,Luanda,Cartagena,,,"Gómez Marín, Juan"
1620,29459,San Salvador,San Lucar,São Tomé,Cartagena,,293,"Barrientos, Garcia de<br/> Bernal, Sebastien"
1623,29460,NS de la Concepción,,"West Central Africa and St. Helena, port unspecified",San Domingo (a) Santo Domingo,,,"Pereira, Pedro Gómez"
1623,29461,NS da Candelaria,,"West Central Africa and St. Helena, port unspecified","Hispaniola, unspecified",,217,"Franco Piñedo, Gil"
1623,29462,Ángel S Gabriel,Cadiz,Luanda,Cumana,,158,"Carlos, Diego Suarez"
1623,29463,Ángel S Gabriel,,Luanda,"Hispaniola, unspecified",,,"Fonseca, Diego de"
1623,29464,NS de Ayuda,,"West Central Africa and St. Helena, port unspecified","Hispaniola, unspecified",,,"Vera de Limas, Francisco"
1624,29465,NS del Rosario,San Lucar,Luanda,"New Spain, port unspecified",,,"Nuñez, Andrés"
1624,29466,Limpia Concepción,,Luanda,"Hispaniola, unspecified",,,"Muñiz, Francisco"
1624,29467,NS del Rosario,Cadiz,Luanda,"Hispaniola, unspecified",,,"Méndez, Luís"
1625,29468,NS de Nazaré,Lisbon,Luanda,"Hispaniola, unspecified",,,"Díaz, Duarte"
1625,29469,Santiago,,Luanda,"Hispaniola, unspecified",,400,"Ribero, Simón"
1625,29470,NS del Rosario,,Luanda,"Hispaniola, unspecified",,200,"Lemos, Nicolás de"
1625,29471,S Rafael,,Luanda,"Hispaniola, unspecified",,400,"Rodríguez, Miguel"
1625,29472,S José,,Luanda,"Hispaniola, unspecified",,75,"Vaz Figueras, Leonardo"
1626,29473,S Antônio,,Luanda,"Hispaniola, unspecified",,,"Méndez de Carballo, Juan"
1637,29474,S Francisco Capuchino,Lisbon,Luanda,Cartagena,,150,"Oñate, Gaspar de"
1618,29477,,,"Africa, port unspecified",Veracruz,,,"Solís Ulloa, Manoel"
1624,29481,Santiago,Lisbon,"West Central Africa and St. Helena, port unspecified",Cartagena,,140,"Montero, Gerónimo"
1596,29483,Santiago,,,Cumana,,136,"Anes, Lorenço"
1604,29485,S Antonio de Padua,,Luanda,"Hispaniola, unspecified",,,"Díaz, Jacome"
1607,29486,,,"Africa, port unspecified","Jamaica, place unspecified",,97,"Melo, Diego de"
1609,29487,S Marta (a) S Francisco,,Cape Verde Islands,Cartagena,,,"Perez, Lisarte<br/> Mertola, Diego Fernandez de"
1618,29488,NS de Monserrate,,Luanda,Cartagena,,,"Fernández, Pedro"
1619,29490,S Francisco,"Portugal, port unspecified",Luanda,Cartagena,,,"Cintrón, Sebastián"
1619,29491,S Salvador,,Ardra,Cartagena,,258,"Pinelo, Gil Franco"
1619,29492,S Antônio de Pádua,,São Tomé,Cartagena,,,"Ferrera, Manoel"
1619,29493,S Pedro,,Ardra,Cartagena,,,"Ribeiro, Jorge"
1619,29494,NS del Castillo,,Luanda,"Spanish Circum-Caribbean,unspecified",,,"Silva, Antônio da"
1620,29495,Espírito Santo,,Luanda,Cartagena,,290,"Siqueira, Lope de"
1619,29496,S Francisco,,Portuguese Guinea,Cartagena,,71,"Méndez, Manoel"
1672,29499,NS del Buen Sucesso e S Carlos,,"Africa, port unspecified",Cartagena,,664,
