Year of arrival at port of disembarkation,Voyage ID,Vessel name,Voyage itinerary imputed port where began (ptdepimp) place,Voyage itinerary imputed principal place of slave purchase (mjbyptimp) ,Voyage itinerary imputed principal port of slave disembarkation (mjslptimp) place,VOYAGEID2,Captives arrived at 1st port,Captain's name
1714,16109,Freeke Gally,Bristol,,Kingston,,283,"Neale, Alexander"
1713,16110,Greyhound Gally,Bristol,,"Jamaica, place unspecified",,,"Selkirk, Alexander<br/> Forrest, Henry"
1714,16111,Jacob,Bristol,,Kingston,,130,"Nicholls, Philip"
1714,16112,Jason Gally,Bristol,,Port Royal,,278,"Plummer, John"
1713,16113,Lawford Gally,Bristol,"Africa, port unspecified",Newcastle (Nevis),,,"Stretton, Joseph"
1714,16114,Mercy Gally,Bristol,"Africa, port unspecified","Barbados, place unspecified",,190,"Scott, John"
1714,16115,Mermaid Gally,Bristol,Cape Verde Islands,Kingston,,72,"Banbury, John<br/> Copinger, James"
1713,16116,Morning Star,Bristol,"Africa, port unspecified",Charleston,,,"Poole, Nicholas"
1714,16117,Peterborough,Bristol,"Africa, port unspecified","Barbados, place unspecified",,200,"Shawe, John<br/> Martin, Joseph"
1713,16118,Resolution,Bristol,"Gold Coast, port unspecified","Barbados, place unspecified",,255,"Williams, Charles"
1714,16119,Richard and William,Bristol,,Port Royal,,55,"Beckham, George<br/> Spring, Martin"
1713,16120,Rotchdale Gally,Bristol,"Africa, port unspecified","Barbados, place unspecified",,96,"Hitchings, John"
1714,16121,Tunbridge Gally,Bristol,"Africa, port unspecified","Barbados, place unspecified",,200,"Skinner, Peter"
1713,16122,Union Sloop,Bristol,"Gold Coast, port unspecified",Kingston,,80,"Rowe, Thomas"
1715,16124,Berkley Gally,Bristol,Calabar,"Barbados, place unspecified",,245,"Webley, William<br/> Saunders"
1715,16125,Diana,Bristol,"Gold Coast, port unspecified","Barbados, place unspecified",,50,"Davis, John"
1715,16126,Dover Gally,Bristol,,"Jamaica, place unspecified",,236,"Ames, William<br/> Day, John"
1715,16127,Duckinfield Gally,Bristol,"Africa, port unspecified","Barbados, place unspecified",,310,"Bayly, Alexander"
1715,16128,Fame,Bristol,"Africa, port unspecified","Barbados, place unspecified",,84,"Shaw, John"
1715,16129,Florida,Bristol,Calabar,"Barbados, place unspecified",,145,"Braddock, James<br/> Stevens, Francis"
1714,16130,Hallifield Gally,Bristol,"Africa, port unspecified",Saint John (Antigua),,,"Bewk, John"
1715,16131,Jason Gally,Bristol,"Africa, port unspecified","Barbados, place unspecified",,288,"Plummer, John"
1715,16132,Peterborough Frigate,Bristol,"Africa, port unspecified","Barbados, place unspecified",,345,"Price, John<br/> Martin, Rowland"
1715,16133,Provis Gally,Bristol,"Africa, port unspecified","Barbados, place unspecified",,98,"Hodges, Edward"
1714,16134,Queen Ann,Bristol,"Africa, port unspecified",Newcastle (Nevis),,,"Reece, David"
1714,16135,Royal George,Bristol,"Africa, port unspecified",Saint John (Antigua),,,"Thomson, Henry<br/> Cory, Robert"
1715,16136,Sacheverell Gally,Bristol,"Gold Coast, port unspecified","Barbados, place unspecified",,116,"Yeamans, Charles"
1714,16137,Saint Michael,Bristol,"Africa, port unspecified","British Caribbean, colony unspecified",,,"Kenah, William"
1715,16138,Tiverton Gally,Bristol,"Africa, port unspecified","Barbados, place unspecified",,230,"Owen, John"
1716,16140,Bachelor,Bristol,"Africa, port unspecified","Barbados, place unspecified",,95,"Wild, Isaac"
1715,16141,Dover Gally,Bristol,"Africa, port unspecified","Jamaica, place unspecified",,,"Day, John"
1716,16142,Duckinfield Gally,Bristol,"Africa, port unspecified","Barbados, place unspecified",,292,"Bayly, Alexander"
1715,16143,Freeke Gally,Bristol,"Africa, port unspecified","Barbados, place unspecified",,262,"Neale, Alexander"
1715,16144,Hallifield,Bristol,"Africa, port unspecified",Saint John (Antigua),,,"Bush, John"
1716,16145,Houlton,Bristol,"Africa, port unspecified","Barbados, place unspecified",,118,"Davis, John"
1716,16146,Mercy,Bristol,"Gold Coast, port unspecified","Jamaica, place unspecified",,240,"Callahan, Michael"
1716,16148,Peniel Gally,Bristol,"Africa, port unspecified","Barbados, place unspecified",,150,"Skinner, Thomas"
1716,16149,Queen Ann,Bristol,"Africa, port unspecified","Barbados, place unspecified",,100,"Reece, David"
1715,16150,Roachdale Gally,Bristol,Madeira,"Barbados, place unspecified",,,"Bush, Peter"
1716,16151,Tiverton Gally,Bristol,"Africa, port unspecified","Barbados, place unspecified",,259,"Owen, John"
1716,16152,Triton Gally,Bristol,"Africa, port unspecified","Barbados, place unspecified",,169,"Stephens, William"
1716,16153,Tunbridge Gally,Bristol,,"Jamaica, place unspecified",,200,"Skinner, Peter"
1716,16154,Anna and Sarah,Bristol,"Africa, port unspecified","Montserrat, port unspecified",,,"Jacob, Thomas"
1716,16156,Berkley Gally,Bristol,"Whydah, Ouidah","Jamaica, place unspecified",,,"Saunders, Edmund<br/> Tucker, Nathaniel"
1717,16157,Betty Gally,Bristol,,"Jamaica, place unspecified",,264,"Kenah, William"
1716,16158,Betty,Bristol,"Africa, port unspecified","Jamaica, place unspecified",,,"Yeamans, Charles<br/> Barklay, Alexander"
1717,16159,Charfield,Bristol,Gambia,Rappahannock,,156,"Roberts, William"
1717,16161,Dover,Bristol,Cape Coast Castle,"Jamaica, place unspecified",,,"Gwither, John<br/> Day, John"
1717,16162,Duckinfield,Bristol,"Africa, port unspecified","Barbados, place unspecified",,176,"Rowles, Charles<br/> Bayly, Alexander"
1716,16163,Freke Gally,Bristol,"Africa, port unspecified","Barbados, place unspecified",,303,"Arding, Richard<br/> Neale, Alexander"
1717,16164,Houlton Gally,Bristol,Gambia,"Barbados, place unspecified",,,"Normanton, John"
1717,16165,Jason Gally,London,"Gold Coast, port unspecified","Barbados, place unspecified",,300,"Plummer, John"
1717,16166,Martin Gally,Bristol,"Africa, port unspecified","Barbados, place unspecified",,161,"Martin, Rowland"
1717,16169,Parnel Gally,Bristol,New Calabar,"Barbados, place unspecified",,223,"Phipps, Benjamin"
1717,16170,Peniel,Bristol,,"Jamaica, place unspecified",,100,"Skinner, Thomas"
1717,16171,Peterborough Frigate,Bristol,"Africa, port unspecified","Barbados, place unspecified",,191,"Edwards, James"
1716,16172,Rebecca,Bristol,"Africa, port unspecified",York River,,135,"Reece, David"
1716,16173,Royal George,Bristol,"Africa, port unspecified","Barbados, place unspecified",,,"Corey, Robert"
1716,16174,Susanna and Elizabeth,Bristol,"Africa, port unspecified",Saint John (Antigua),,,"Taylor, John<br/> George, John"
1717,16175,Tiverton Gally,Bristol,"Africa, port unspecified","Barbados, place unspecified",,233,"Owen, John"
1717,16176,Triton Gally,Bristol,"Gold Coast, port unspecified","Barbados, place unspecified",,140,"Stephens, William"
1716,16177,Violet,Bristol,,"Jamaica, place unspecified",,,"Harrison, Stanley"
1717,16178,Ann and Sarah,Bristol,"Africa, port unspecified","Montserrat, port unspecified",,,"Jacob, Thomas<br/> Harris, Rice"
1718,16179,Berkley Gally,Bristol,New Calabar,York River,,143,"Pitts, Francis"
1718,16180,Coulstone,Bristol,Sierra Leone estuary,"Barbados, place unspecified",,33,"Skinner, Peter<br/> Vaughan, Hugh"
1717,16181,Dragon,Bristol,"Africa, port unspecified",Saint John (Antigua),,,"Sommers, Phillip<br/> Lamb"
1718,16182,Duckinfield,Bristol,,"Jamaica, place unspecified",,260,"Rowles, Charles"
1717,16183,Freke Gally,Bristol,,"Jamaica, place unspecified",,310,"Harding, Richard"
1718,16184,Henry,Bristol,"Africa, port unspecified",Rappahannock,,126,"Harper, James<br/> Smith, Henry"
1718,16185,Jason Gally,Bristol,,"Jamaica, place unspecified",,298,"Plummer, John"
1718,16187,Martin Gally,Bristol,,Kingston,,150,"Martin, Rowland"
1717,16188,Mercy,Bristol,"Africa, port unspecified","Barbados, place unspecified",,264,"Callahan, Michael"
1718,16189,Morning Star,Bristol,"Africa, port unspecified","Barbados, place unspecified",,134,"Poole, Nicholas (Jr)"
1718,16190,Nightingale,Bristol,"Africa, port unspecified",Lower James River,,,"Merrett, Joseph<br/> Worsdale, Nic"
1718,16191,Parnel Gally,Bristol,Calabar,York River,,,"Metherby, Robert<br/> Morris, John"
1718,16192,Pearl,Bristol,"Africa, port unspecified","Barbados, place unspecified",,177,"Painter, William"
1718,16193,Peterborough,Bristol,Calabar,York River,,,"Edwards, James"
1718,16194,Princess Carolina,Bristol,"Africa, port unspecified",Charleston,,86,"Bedford, John"
1717,16195,Queen Mary,Bristol,,"Jamaica, place unspecified",,280,"Bayly, Alexander"
1718,16196,Raymond Gally,Bristol,"Africa, port unspecified","Barbados, place unspecified",,192,"Phipps, Benjamin"
1718,16197,Rebecca,Bristol,,"Jamaica, place unspecified",,87,"Welch, Robert"
1718,16198,Rumsey,Bristol,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",York River,,126,"Porter, Charles<br/> Eustace, John"
1718,16199,Society,Bristol,"Gold Coast, port unspecified","Barbados, place unspecified",,129,"Webb, William<br/> Young, John"
1717,16200,Success,Bristol,Anomabu,"Barbados, place unspecified",,180,"Vaughan, Thomas"
1718,16201,Tiverton,Bristol,"Africa, port unspecified","Barbados, place unspecified",,256,"Owen, John"
1717,16202,Tryton,Bristol,"Africa, port unspecified","Barbados, place unspecified",,165,"Pitts, Francis<br/> Sheppard, John"
1717,16203,Tunbridge,Bristol,,"Jamaica, place unspecified",,180,"Stretton, Joshua"
1718,16204,Violet,Bristol,,Kingston,,190,"Harrison, Stanley"
1719,16205,Africa,Bristol,"Africa, port unspecified",York River,,84,"Griffiths, Samuel"
1719,16206,Ann Gally,Bristol,,Kingston,,98,"Bedford, John"
1719,16207,Anna and Sarah,Bristol,Calabar,York River,,159,"Harris, John<br/> Brittan, William"
1718,16208,Bensworth,Bristol,Gambia,Rappahannock,,50,"Gardner, Nicholas"
1719,16209,Berkley Gally,Bristol,Calabar,York River,,185,"Pitts, Francis"
1719,16210,Betty Gally,Bristol,,Kingston,,330,"Kenah, William"
1718,16211,Calabar Merchant,Bristol,,Kingston,,182,"Kennedy, Thomas"
1718,16212,Charfield,Bristol,Gambia,Rappahannock,,76,"Reymer, Robert"
1718,16213,Charles,Bristol,"Africa, port unspecified","Barbados, place unspecified",,109,"Robertson, James"
1719,16214,Diamond Gally,Bristol,,Kingston,,80,"Roberts, William"
1719,16215,Duckinfield Gally,Bristol,,Kingston,,280,"Rowles, Charles"
1719,16216,Freke Gally,Bristol,"Gold Coast, port unspecified",Kingston,,240,"Neale, Alexander<br/> Morgan, John"
1718,16217,Greyhound Gally,Bristol,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",York River,,182,"Forrest, Henry"
1719,16218,Greyhound,Bristol,Calabar,York River,,170,"Forrest, Henry"
1719,16219,Mercy Gally,Bristol,,Kingston,,330,"Callahan, Michael"
1719,16220,Morehampton,Bristol,Bonny,York River,,61,"Griffiths, Thomas<br/> Maddox, John"
1719,16222,Noblet Sloop,Bristol,"West Central Africa and St. Helena, port unspecified",York River,,146,"Westover, William<br/> Wetherby, Robert"
1719,16223,Peniel,Bristol,,Kingston,,160,"Skinner, Thomas"
1719,16224,Prince Eugene,Bristol,Madagascar,York River,,340,"Stretton, William<br/> Goodall, James"
1718,16225,Queen Ann,Bristol,,Kingston,,330,"Edwards, Thomas"
1719,16226,Raymond,Bristol,"Africa, port unspecified","Barbados, place unspecified",,230,"Phipps, Benjamin"
1718,16227,Robert and Henry,Bristol,"Africa, port unspecified",Kingston,,149,"Scott, John"
1719,16228,Sherley Gally,Bristol,,Kingston,,192,"Rowes, Thomas<br/> Poole, Robert"
1719,16229,Sierra Leone,Bristol,Calabar,York River,,103,"Harris, Rice"
1719,16230,Tiverton,Bristol,,Kingston,,258,"Thruppe, William"
1718,16231,Triton,Bristol,"Africa, port unspecified","Barbados, place unspecified",,154,"Sheppard, John<br/> Williams, John"
1719,16232,Tunbridge Gally,Bristol,"Gold Coast, port unspecified",Kingston,,243,"Stretton, Joseph"
1719,16233,Violet,Bristol,"Africa, port unspecified",York River,,128,"Harrison, Stanley"
1718,16234,William and Sarah,Bristol,,Kingston,,200,"Stephens, James<br/> Liscombe, Peter"
1720,16237,Berkley,Bristol,Calabar,York River,,160,"Pitts, Francis"
1720,16238,Betty,Bristol,Calabar,York River,,82,"Stretton, George"
1720,16239,Betty Gally,Bristol,,Kingston,,322,"Kenah, William"
1720,16240,Callabar Merchant,Bristol,Calabar,York River,,156,"Kennedy, Thomas"
1720,16241,Commerce,Bristol,Calabar,York River,,130,"Moor, David"
1720,16242,Cornwall,Bristol,Calabar,"Jamaica, place unspecified",,270,"Rowles, Charles"
1719,16243,Coulstone,Bristol,Calabar,York River,,123,"Vaughan, Hugh"
1719,16244,Henry,Bristol,,,,,"Smith, Henry"
1720,16245,Jason,Bristol,"Gold Coast, port unspecified","Jamaica, place unspecified",,328,"Plummer, John"
1719,16246,Nightingale,Bristol,,Kingston,,70,"Chrichton, James"
1720,16247,Oldbury,Bristol,,Kingston,,168,"Jeans, Joseph"
1720,16249,Peniel,Bristol,,"Jamaica, place unspecified",,230,"Skinner, Thomas"
1719,16250,Peterborough,Bristol,"Africa, port unspecified",,,,"Owen, John"
1720,16251,Queen Mary,Bristol,,"Jamaica, place unspecified",,302,"Edwards, Thomas"
1719,16252,Rebecca,Bristol,Calabar,"Montserrat, port unspecified",,,"Biglow, Jabez"
1719,16253,Robert,Bristol,,Kingston,,202,"Harding, Richard"
1720,16255,Tiverton,Bristol,Calabar,York River,,210,"Southerland, Eneas<br/> Constant, Thomas"
1720,16256,Triton,Bristol,,Kingston,,208,"Morris, John<br/> Harris, Samuel<br/> Lee, Benjamin"
1720,16257,Abington,Bristol,,"Jamaica, place unspecified",,280,"Smith, John"
1721,16259,Betty Gally,Bristol,,"Jamaica, place unspecified",,339,"Holland, William<br/> Edwards, Thomas"
1721,16260,Callabar Merchant,Bristol,"Africa, port unspecified",Rappahannock,,224,"Kennedy, Thomas"
1721,16261,Commerce,Bristol,Calabar,York River,,124,"Moore, David"
1720,16262,Coulstone Snow,Bristol,"West Central Africa and St. Helena, port unspecified","Jamaica, place unspecified",,164,"Vaughan, Hugh"
1721,16263,Dover Gally,Bristol,,"Jamaica, place unspecified",,214,"Price, John<br/> Harris, Rice"
1721,16264,Freke Gally,Bristol,,"Jamaica, place unspecified",,275,"James, John<br/> Smith, Joshua"
1721,16265,Greyhound,Bristol,Calabar,York River,,222,"Forrest, Henry"
1720,16266,Hunter,Bristol,Calabar,York River,,55,"Maddox, John"
1720,16267,Mercy Gally,Bristol,"Gold Coast, port unspecified","Jamaica, place unspecified",,249,"Callendar, Michael"
1720,16268,Monmouth,Bristol,"Africa, port unspecified","Virginia, port unspecified",,,"Millington, Richard"
1720,16269,Morning Star,Bristol,"Africa, port unspecified","Barbados, place unspecified",,114,"Cotchett, James"
1721,16270,Nightingale,Bristol,,"Jamaica, place unspecified",,149,"Creighton, James (a) Crichton"
1721,16271,Oldbury,Bristol,"Africa, port unspecified","Montserrat, port unspecified",,209,"George, John"
1721,16272,Prince Eugene,Bristol,Madagascar,York River,,103,"Morgan, Evan"
1720,16273,Raymond Gally,Bristol,"Africa, port unspecified",Charleston,,,"Phipps, Benjamin"
1721,16274,Rebecca,Bristol,Madagascar,York River,,59,"Sprig, Robert<br/> Tyzack, Timothy"
1720,16275,Robert,Bristol,"Gold Coast, port unspecified","Jamaica, place unspecified",,177,"Harding, Richard"
1720,16276,Robert and Henry,Bristol,"Gold Coast, port unspecified","Jamaica, place unspecified",,174,"Stout, Thomas"
1720,16277,Society,Bristol,"Africa, port unspecified","Barbados, place unspecified",,,"Young, John"
1721,16278,Stewell,Bristol,,"Jamaica, place unspecified",,209,"Markham, Edward"
1720,16279,Tryton,Bristol,,"Jamaica, place unspecified",,164,"Harris, Samuel"
1721,16280,Tunbridge Gally,Bristol,"Gold Coast, port unspecified","Jamaica, place unspecified",,122,"Gardner, Nicholas<br/> Morgan, John"
1721,16281,Westbury (a) Westbury Gally,Bristol,"Africa, port unspecified","Cuba, port unspecified",,177,"Biglow, Jabez"
1722,16282,Abington,Bristol,"Gold Coast, port unspecified",Kingston,,,"Smith, John"
1722,16283,America,Bristol,"Gold Coast, port unspecified","Montserrat, port unspecified",,125,"Marshall, Thomas"
1722,16284,Berkley Gally,Bristol,Anomabu,Kingston,,290,"Pitts, Francis"
1721,16285,Betty,Bristol,,Kingston,,175,"Stratton, George<br/> Jones, John<br/> Cantrell, Thomas"
1721,16286,Betty Gally,Bristol,"Africa, port unspecified",,,,"James, Henry"
1722,16287,Chester,Bristol,,"Jamaica, place unspecified",,,"Stephens, William"
1722,16288,Colston Snow,Bristol,,"Jamaica, place unspecified",,140,"Jeanes, Joseph"
1722,16289,Cornwall,Bristol,Calabar,"Jamaica, place unspecified",,301,"Rowles, Charles"
1722,16290,Dover Gally,Bristol,,Kingston,,202,"Harris, Rice"
1722,16291,Greyhound,Bristol,Calabar,York River,,166,"Forrest, Henry"
1722,16292,Happy Adam,Bristol,Calabar,York River,,73,"Arthur, Henry"
1721,16293,Hunter,Bristol,"Africa, port unspecified","Barbados, place unspecified",,,"Maddox, John"
1722,16294,Isaac,Bristol,,"Jamaica, place unspecified",,170,"Barry, William"
1722,16295,Jason Gally,Bristol,,"Jamaica, place unspecified",,,"Plummer, John"
1722,16296,Mary Gally,Bristol,,"Jamaica, place unspecified",,280,"Thruppe, William"
1721,16297,Mercy Gally,Bristol,,,,,"Harrison, Stanley"
1721,16298,Morning Star,Bristol,"Africa, port unspecified",,,,"Cochett, James"
1722,16299,Nightingale,Bristol,,"Jamaica, place unspecified",,121,"Creighton, James (a) Crichton"
1722,16300,Oldbury,Bristol,,"Jamaica, place unspecified",,156,"George, John"
1722,16301,Peniel,Bristol,,"Jamaica, place unspecified",,161,"Skinner, Thomas"
1722,16302,Raymond,Bristol,,"Jamaica, place unspecified",,249,"Phipps, Benjamin"
1721,16303,Robert,Bristol,"Africa, port unspecified",Kingston,,190,"Harding, Richard"
1721,16304,Sarah,Bristol,"Africa, port unspecified",Charleston,,,"Rouse, Peter"
1722,16305,Sherley,Bristol,,"Jamaica, place unspecified",,197,"Biglow, Jabez"
1722,16306,Stowell,Bristol,New Calabar,"Spanish Caribbean, unspecified",,,"Markham, Edward"
1721,16307,Tiverton,Bristol,"Africa, port unspecified",,,,"Scandret, John<br/> Constance, John"
1722,16308,Triton,Bristol,,???,,,"Harris, Samuel"
1723,16309,America,Bristol,"Gold Coast, port unspecified","Barbados, place unspecified",,146,"Marshall, Thomas"
1723,16310,Berkley Gally,Bristol,"Africa, port unspecified","Spanish Circum-Caribbean,unspecified",,,"Pitts, Francis"
1722,16311,Betty,Bristol,,"Jamaica, place unspecified",,150,"Cantrill, Thomas<br/> Constan, John"
1722,16312,Betty Gally,Bristol,"Gold Coast, port unspecified","Jamaica, place unspecified",,,"Edwards, Thomas"
1722,16313,Commerce,Bristol,Calabar,"Jamaica, place unspecified",,203,"Moore, David"
1723,16314,Cornwall,Bristol,,"Jamaica, place unspecified",,,"Rowles, Charles"
1723,16315,Greyhound,Bristol,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",York River,,,"Hallden, Edward"
1722,16316,Hunter,Bristol,"Africa, port unspecified","Barbados, place unspecified",,48,"Maddox, John"
1723,16318,Isaac,Bristol,,"Jamaica, place unspecified",,174,"Barry, William"
1723,16319,Joseph and Anne,Bristol,"Africa, port unspecified","Montserrat, port unspecified",,239,"Bird, Japhet<br/> Rich, John"
1722,16320,Mary and Catherine,Bristol,"Africa, port unspecified","Montserrat, port unspecified",,,"Holland, William"
1723,16321,Mary Gally,Bristol,Gambia,"Barbados, place unspecified",,288,"Callahan, Michael"
1723,16322,Nightingale,Bristol,"Africa, port unspecified","St. Kitts, port unspecified",,170,"Chrichton, James"
1723,16323,Oldbury,Bristol,"Africa, port unspecified","Barbados, place unspecified",,180,"George, John"
1722,16324,Pearle Gally,Bristol,"Africa, port unspecified",Charleston,,,"Cochet, James<br/> Hughes, Jenkin"
1723,16325,Peniel Gally,Bristol,,"Jamaica, place unspecified",,250,"Skinner, Thomas"
1723,16326,Raymond Gally,Bristol,,"Jamaica, place unspecified",,,"Phipps, Benjamin"
1723,16327,Robert,Bristol,,"Jamaica, place unspecified",,,"Harding, Richard"
1723,16328,Sherley Gally,Bristol,"Africa, port unspecified",Rappahannock,,230,"Kennedy, Thomas<br/> Scandret, John"
1723,16329,Tryton,Bristol,"Africa, port unspecified",Newcastle (Nevis),,164,"Harris, Samuel<br/> Craighead, Thomas"
1723,16330,Abington,Bristol,"West Central Africa and St. Helena, port unspecified","Jamaica, place unspecified",,,"Smith, John"
1724,16331,America,Bristol,"Africa, port unspecified",Charleston,,117,"Marshall, Thomas"
1724,16332,Berkley Gally,Bristol,,"Jamaica, place unspecified",,,"Kale, John"
1724,16333,Betty,Bristol,,"Jamaica, place unspecified",,,"Edwards, Thomas"
1723,16334,Betty,Bristol,,"Jamaica, place unspecified",,,"Bayly, Young<br/> Bradshaw, John"
1723,16335,Chester,Bristol,"Africa, port unspecified","Barbados, place unspecified",,169,"Cory, Robert"
1723,16336,Colston,Bristol,"Africa, port unspecified","Barbados, place unspecified",,172,"Rowe, Thomas"
1724,16337,Commerce,Bristol,Calabar,York River,,231,"James, Henry"
1724,16338,Dursley,Bristol,,"Jamaica, place unspecified",,,"Harris, Rice"
1724,16339,Greyhound,Bristol,"Africa, port unspecified",Charleston,,187,"Hallden, Edward"
1723,16340,Houlton,Bristol,"Africa, port unspecified","Americas, port unspecified",,,"Lilburne, George<br/> Powell, Rice"
1724,16341,Joseph and Anna,Bristol,"Africa, port unspecified","Montserrat, port unspecified",,260,"Holland, William"
1724,16342,Mary Gally,Bristol,,"Jamaica, place unspecified",,,"Bird, Japhet"
1724,16343,Nightingale,Bristol,,"Jamaica, place unspecified",,,"Creighton, James (a) Crichton"
1723,16344,Norman Gally,Bristol,"Bight of Biafra and Gulf of Guinea Islands, port unspecified","Barbados, place unspecified",,230,"Jeanes, Joseph"
1724,16345,Oldbury,Bristol,"Africa, port unspecified","St. Kitts, port unspecified",,213,"George, John<br/> Bennett, Anselm"
1724,16346,Pearl Gally,Bristol,"Africa, port unspecified",Charleston,,196,"Hughes, Jenkin"
1724,16347,Peniel Gally,Bristol,"Africa, port unspecified","Barbados, place unspecified",,250,"Barry, Thomas"
1724,16348,Robert,Bristol,"Africa, port unspecified","Barbados, place unspecified",,218,"Arding, Richard (Jr)"
1724,16349,Saint Christopher Gally,Bristol,Andony,"Barbados, place unspecified",,102,"Elston, Robert<br/> Beard, James"
1724,16350,Susanna,Bristol,"Africa, port unspecified","St. Kitts, port unspecified",,127,"Wilks, Thomas"
1723,16351,Tryall,Bristol,"Africa, port unspecified",,,,"Constan, John"
1724,16352,Abington,Bristol,"Gold Coast, port unspecified","Jamaica, place unspecified",,,"Smith, John"
1725,16353,America,Bristol,"Africa, port unspecified",Newcastle (Nevis),,199,"Marshall, Thomas"
1725,16354,Anne,Bristol,"Africa, port unspecified","Barbados, place unspecified",,77,"Biglow, Jabez"
1725,16355,Antelope,Bristol,,"Jamaica, place unspecified",,170,"Eustace, James<br/> Taylor, Michael"
1724,16356,Betty,Bristol,"Africa, port unspecified","Jamaica, place unspecified",,158,"Bradshaw, John"
1725,16357,Betty,Bristol,,"Jamaica, place unspecified",,,"Lilburne, George"
1725,16358,Betty Gally,Bristol,,"Jamaica, place unspecified",,,"Edwards, Thomas"
1724,16359,Chester,Bristol,"Africa, port unspecified","Barbados, place unspecified",,200,"Maddox, John"
1725,16360,Colston,Bristol,,"Jamaica, place unspecified",,,"Rowe, Thomas"
1725,16361,Commerce,Bristol,Calabar,York River,,278,"James, Henry"
1724,16362,Cornwall,Bristol,,"Jamaica, place unspecified",,,"Rowles, Charles"
1724,16363,Delight,Bristol,"Africa, port unspecified","Barbados, place unspecified",,,"Stockdale, Peregrine"
1725,16364,Dispatch Brigantine,Bristol,Calabar,York River,,173,"Barry, William"
1725,16365,Dursley Gally,Bristol,,"Jamaica, place unspecified",,,"Harris, Rice"
1724,16366,Elizabeth,Bristol,"Africa, port unspecified","St. Kitts, port unspecified",,175,"Green, John"
1724,16367,Fame,Bristol,"Africa, port unspecified","St. Kitts, port unspecified",,127,"Roberts, John"
1725,16368,Hector Gally,Bristol,"Africa, port unspecified","St. Kitts, port unspecified",,210,"Edwards, Robert"
1725,16369,Illustrious Gally,Bristol,Bonny,Rappahannock,,201,"Murphy, John"
1725,16370,Jason Gally,Bristol,"Whydah, Ouidah","Jamaica, place unspecified",,,"Plummer, John"
1725,16371,Joseph and Anna,Bristol,"Africa, port unspecified","Montserrat, port unspecified",,230,"Holland, William"
1724,16372,King Amboe,Bristol,"Africa, port unspecified",,,,"Teat, John"
1725,16373,Little Joseph,Bristol,,"Jamaica, place unspecified",,,"Barry, Thomas"
1724,16374,Little Stephen,Bristol,Calabar,York River,,98,"Little, Edward"
1725,16375,Mediterranian Gally,Bristol,,"Jamaica, place unspecified",,,"Dolman, Thomas"
1724,16376,Nightingale,Bristol,"Africa, port unspecified","Barbados, place unspecified",,183,"Creighton, James [a] Crichton"
1725,16377,Norman Gally,Bristol,"Africa, port unspecified","Barbados, place unspecified",,251,"Lodge, Charles<br/> Naylor, Mathew"
1725,16378,Oldbury,Bristol,"Africa, port unspecified","St. Kitts, port unspecified",,123,"Pride, Chatmil<br/> Beard, James"
1725,16379,Peniel Gally,Bristol,,"Jamaica, place unspecified",,254,"Skinner, Thomas"
1724,16380,Rich Gally,Bristol,"West Central Africa and St. Helena, port unspecified","Jamaica, place unspecified",,230,"Phipps, Benjamin<br/> Hurrue, William"
1725,16381,Robert,Bristol,"Africa, port unspecified","Barbados, place unspecified",,192,"Arding, Richard"
1724,16382,Saint Christopher,Bristol,"Africa, port unspecified","Barbados, place unspecified",,,"Rose, John<br/> Newth, James"
1724,16383,Sherley Gally,Bristol,"Africa, port unspecified","Barbados, place unspecified",,239,"Kennedy, Thomas"
1725,16384,Success,Bristol,,"Jamaica, place unspecified",,,"Hall, John"
1725,16385,Susanna,Bristol,"Africa, port unspecified","St. Kitts, port unspecified",,83,"Wilks, Thomas"
1725,16386,Susanna Gally,Bristol,,"Jamaica, place unspecified",,,"Stratton, Joseph"
1724,16387,Swift Gally,Bristol,,"Jamaica, place unspecified",,225,"Dick, Matthew"
1724,16388,Triton,Bristol,,,,,"Phipps, Benjamin"
1724,16389,Two Brothers,Bristol,Cape Verde Islands,Saint John (Antigua),,27,"Rowe, Peter"
1724,16390,Virgin Gally,Bristol,,"Jamaica, place unspecified",,255,"Beckford, Posthumus"
1726,16392,Abington,Bristol,,Kingston,,,"Smith, John"
1725,16393,America,Bristol,"Africa, port unspecified",Charleston,,,"Marshall, Thomas"
1726,16394,Angola,Bristol,,"Jamaica, place unspecified",,,"Jeans, Joseph<br/> Worsdale, Nicholas"
1726,16395,Anne,Bristol,"Africa, port unspecified","St. Kitts, port unspecified",,156,"Thomas, Abell"
1725,16396,Berkley Gally,Bristol,,"Jamaica, place unspecified",,,"Hale, John"
1726,16397,Betty Brigantine,Bristol,Calabar,York River,,144,"Bradshaw, John"
1726,16398,Cape Benda,Bristol,"West Central Africa and St. Helena, port unspecified","Barbados, place unspecified",,269,"Turner, William<br/> Bird, Japhet"
1725,16399,Castle Gally,Bristol,"Africa, port unspecified",,,,"Frost, Joseph"
1726,16400,Chester Gally,Bristol,Calabar,York River,,145,"Webley, Henry<br/> Bacon, Richard"
1726,16401,Colston,Bristol,,"Jamaica, place unspecified",,,"Rowe, Thomas"
1726,16402,Commerce,Bristol,Calabar,York River,,143,"James, Henry<br/> Elston, Robert"
1725,16403,Cornwall Gally,Bristol,"Jamaica, place unspecified","Jamaica, place unspecified",,,"Rowles, Charles"
